Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
760,12;10,39;949,23;547,88;48,89;57,31;11,46;52,28;2135,98
752,53;10,19;949,50;546,62;45,41;56,01;11,20;52,29;1968,59
752,45;10,19;949,50;547,25;46,42;55,43;11,09;52,27;2023,35
759,55;10,18;949,10;548,00;47,30;54,89;10,98;52,24;2014,20
760,52;10,18;949,23;547,38;46,59;54,43;10,89;52,22;2019,60
751,80;10,18;949,76;544,00;46,63;54,06;10,81;52,21;2017,28
755,96;10,18;949,76;546,75;45,43;53,78;10,76;52,18;1990,29
758,16;10,18;949,36;543,63;45,36;53,62;10,72;52,17;2012,07
759,55;10,18;948,97;542,62;46,70;53,54;10,71;52,16;2032,46
758,32;10,18;949,50;559,62;46,47;53,57;10,71;52,17;2013,96
753,43;10,18;950,56;549,37;45,17;53,66;10,73;52,16;1964,61
756,04;10,18;949,36;547,75;45,38;53,81;10,76;52,18;1987,65
760,52;10,17;948,70;547,12;46,36;54,00;10,80;52,21;2004,49
757,18;10,03;949,76;552,63;46,35;54,20;10,84;52,23;2001,89
759,06;10,07;949,50;538,50;46,46;54,43;10,89;52,24;1998,69
753,43;10,25;949,50;548,25;46,32;54,65;10,93;52,26;1999,40
760,36;10,30;949,36;546,00;47,51;54,86;10,97;52,26;2062,60
751,22;10,23;949,76;545,63;47,81;55,07;11,01;52,24;2090,10
752,37;10,25;949,23;545,00;47,21;55,27;11,05;52,23;2029,78
758,16;10,24;949,36;544,50;46,47;55,45;11,09;52,22;1985,12
754,32;10,16;949,50;548,50;47,33;55,64;11,13;52,23;2061,42
758,57;10,16;949,36;551,00;46,29;55,83;11,17;52,27;2049,86
759,06;10,16;949,50;544,75;45,72;55,98;11,20;52,27;2006,39
758,40;10,17;949,10;546,88;45,88;56,13;11,23;52,26;2009,27
758,49;10,20;949,50;551,00;45,34;56,27;11,25;52,24;1978,54
758,40;10,17;949,63;550,25;44,89;56,41;11,28;52,23;2011,48
757,91;10,18;949,36;541,88;45,79;56,53;11,31;52,21;2020,67
757,67;10,21;949,50;544,50;45,72;56,65;11,33;52,17;2023,67
759,22;10,20;949,63;543,75;45,25;56,76;11,35;52,15;1986,35
758,98;10,19;949,50;545,37;45,95;56,87;11,37;52,13;2041,14
757,51;10,19;949,23;543,50;45,63;56,98;11,40;52,11;2014,36
757,43;10,19;949,63;553,00;46,02;57,07;11,41;52,10;2017,83
757,10;10,18;949,76;546,88;45,01;57,18;11,44;52,08;2002,68
758,65;10,18;949,10;549,75;44,78;57,25;11,45;52,07;1977,51
757,18;10,18;949,23;545,88;45,36;57,36;11,47;52,05;2012,11
758,16;10,18;949,63;542,50;46,48;57,45;11,49;52,02;2044,81
756,77;10,18;949,36;541,13;46,19;57,54;11,51;52,01;2039,49
758,40;10,18;949,10;545,88;44,95;57,61;11,52;51,99;2002,25
758,24;10,18;949,50;544,00;45,27;57,69;11,54;51,96;2016,13
757,91;10,18;949,63;546,50;45,79;57,78;11,56;51,96;2016,09
757,75;10,18;949,50;549,75;44,93;57,86;11,57;51,96;1998,06
758,65;10,09;949,36;552,87;45,91;57,96;11,59;51,98;2006,70
770,07;10,11;949,76;533,38;45,20;58,05;11,61;51,97;1991,00
770,56;10,24;949,36;536,00;45,29;58,13;11,63;51,96;2018,38
762,40;10,23;948,70;540,25;46,06;58,21;11,64;51,95;2049,94
752,78;10,21;949,63;548,75;46,09;58,23;11,65;51,94;2042,05
750,41;10,22;950,03;539,00;44,55;58,21;11,64;51,93;1980,39
756,77;10,17;949,50;550,62;45,94;58,12;11,62;51,91;2024,26
746,16;10,17;949,50;550,62;45,67;57,96;11,59;51,93;2011,87
759,55;10,19;949,50;539,13;45,11;57,72;11,54;51,93;1990,77
755,63;10,15;949,10;552,50;44,72;57,41;11,48;51,93;1976,48
751,14;10,16;949,63;553,25;44,25;57,03;11,41;51,94;1964,53
755,22;10,18;949,63;557,25;43,59;56,62;11,32;51,94;1979,56
760,93;10,16;949,36;550,13;45,11;56,17;11,23;51,94;1990,88
753,92;10,21;949,10;554,88;44,99;55,71;11,14;51,93;1982,28
754,24;10,17;949,63;551,88;44,51;55,28;11,06;51,92;1953,80
758,57;10,18;949,63;549,75;44,96;54,88;10,98;51,91;1969,62
762,16;10,18;949,63;535,63;44,79;54,62;10,92;51,91;1979,80
758,24;10,18;949,36;532,25;46,27;54,45;10,89;51,91;1999,72
757,91;10,18;949,23;534,12;45,67;54,37;10,87;51,91;2004,22
759,71;10,18;949,63;543,00;44,89;54,38;10,88;51,91;1982,72
760,93;10,18;949,63;538,25;45,58;54,44;10,89;51,92;2007,93
754,32;10,18;949,23;542,50;46,47;54,56;10,91;51,92;2021,85
757,02;10,18;949,36;539,63;48,07;54,73;10,95;51,94;2044,34
753,02;10,18;949,63;543,63;47,12;54,94;10,99;51,97;1994,87
759,30;10,18;948,97;546,12;47,07;55,18;11,04;52,00;2016,13
757,67;10,18;949,23;545,25;47,12;55,42;11,08;52,03;2019,56
759,96;10,18;950,16;547,38;47,36;55,69;11,14;52,06;2027,85
758,81;10,18;949,63;543,12;46,27;55,96;11,19;52,11;1980,11
755,63;9,89;949,23;546,75;45,94;56,23;11,25;52,16;1980,98
751,22;10,07;949,50;551,12;46,46;56,48;11,30;52,20;2014,71
755,14;10,33;949,36;552,38;47,12;56,71;11,34;52,22;2041,02
752,94;10,33;949,36;547,12;47,69;56,94;11,39;52,23;2103,32
758,24;10,29;949,50;547,62;48,49;57,14;11,43;52,23;2106,39
759,96;10,30;949,63;540,75;47,02;57,33;11,47;52,22;2034,75
759,30;10,23;949,63;536,63;48,16;57,51;11,50;52,23;2067,02
758,32;10,18;949,10;551,12;47,84;57,66;11,53;52,27;2051,76
757,51;10,20;949,36;537,12;45,20;57,80;11,56;52,30;1978,10
752,20;10,18;949,89;550,38;44,87;57,94;11,59;52,32;1987,89
760,28;10,17;949,76;538,12;45,38;58,04;11,61;52,31;2006,98
758,81;10,17;949,50;538,88;45,29;58,14;11,63;52,29;2016,37
759,63;10,18;949,50;533,00;45,23;58,22;11,64;52,28;2021,46
756,04;10,20;949,50;549,63;44,84;58,27;11,65;52,24;1975,50
760,52;10,18;949,23;551,62;45,55;58,28;11,66;52,22;2038,66
754,08;10,18;949,50;542,25;44,75;58,19;11,64;52,20;1998,85
755,14;10,18;949,23;540,87;45,46;58,04;11,61;52,17;2026,35
759,38;10,18;949,63;537,75;46,12;57,82;11,56;52,16;2020,04
758,65;10,18;949,23;545,63;45,51;57,52;11,50;52,15;1999,25
757,91;10,18;949,10;541,62;45,36;57,17;11,43;52,14;2043,43
759,55;10,18;949,36;554,25;45,43;56,76;11,35;52,15;2027,77
755,55;10,18;949,63;547,25;45,46;56,33;11,27;52,16;2007,10
757,91;10,18;949,63;546,12;47,99;55,87;11,17;52,17;2101,23
753,67;10,18;949,36;553,63;47,91;55,48;11,10;52,19;2050,85
751,80;10,18;949,23;547,75;47,51;55,16;11,03;52,17;2033,96
757,59;10,18;949,36;545,50;47,21;54,90;10,98;52,16;2058,70
748,29;10,18;949,50;548,75;45,76;54,74;10,95;52,17;1995,26
758,40;10,18;949,63;549,25;45,10;54,67;10,93;52,19;1976,92
755,63;9,99;949,36;545,37;46,72;54,66;10,93;52,21;2012,07
758,24;9,96;949,50;546,62;45,49;54,71;10,94;52,22;1979,96
757,83;10,21;949,50;546,50;46,41;54,82;10,96;52,23;2022,72
757,91;10,33;949,23;542,75;47,69;54,96;10,99;52,24;2028,20
757,75;10,28;950,16;546,75;48,72;55,13;11,03;52,26;2101,34
755,30;10,25;949,50;546,00;48,04;55,34;11,07;52,26;2059,57
752,45;10,26;949,63;547,00;47,69;55,57;11,11;52,26;2012,03
766,64;10,21;949,36;547,00;47,91;55,80;11,16;52,27;2013,25
765,67;10,15;949,50;547,25;45,94;56,03;11,21;52,30;1988,04
763,71;10,16;949,36;542,12;45,66;56,24;11,25;52,33;2012,62
770,89;10,18;949,76;542,88;45,32;56,44;11,29;52,33;2003,31
748,78;10,19;949,63;542,50;45,20;56,66;11,33;52,32;2006,90
756,45;10,18;948,97;549,25;45,32;56,82;11,36;52,32;2002,52
760,12;10,18;949,89;545,37;43,80;56,97;11,39;52,29;1971,51
751,47;10,23;949,63;545,63;45,31;57,13;11,43;52,27;2013,41
756,20;10,22;949,50;543,75;45,93;57,28;11,46;52,25;2026,74
748,45;10,20;949,63;542,00;45,20;57,42;11,48;52,24;2008,72
760,12;10,19;949,10;551,88;44,91;57,54;11,51;52,21;1950,05
754,00;10,19;949,50;542,62;44,98;57,64;11,53;52,19;1988,87
755,63;10,19;949,36;547,12;45,79;57,76;11,55;52,16;2011,24
754,16;10,18;949,63;548,25;45,15;57,87;11,57;52,13;2001,61
755,06;10,18;949,50;547,75;44,66;57,97;11,59;52,11;2001,65
752,20;10,18;949,63;547,25;45,93;58,06;11,61;52,06;2016,76
758,32;10,18;949,36;542,62;46,12;58,17;11,63;52,04;2030,77
759,22;10,18;949,36;545,88;46,06;58,24;11,65;52,03;2047,97
751,14;10,18;949,23;544,37;44,78;58,29;11,66;52,02;1995,70
752,45;10,18;949,50;542,38;44,83;58,28;11,66;52,02;1987,41
758,98;10,18;949,63;547,38;45,59;58,19;11,64;52,05;2018,81
759,55;10,15;949,50;544,75;45,52;58,03;11,61;52,06;1993,65
752,37;10,10;949,50;549,75;45,38;57,79;11,56;52,07;2014,71
751,39;10,13;949,50;544,00;44,47;57,48;11,50;52,09;1980,86
758,00;10,25;949,36;545,63;44,43;57,11;11,42;52,09;1999,56
759,14;10,28;949,50;543,38;45,38;56,69;11,34;52,11;2042,88
760,12;10,21;949,36;542,75;46,38;56,24;11,25;52,12;2042,01
754,32;10,22;949,36;546,25;45,79;55,74;11,15;52,11;1993,61
751,88;10,21;949,63;545,00;45,27;55,30;11,06;52,12;1967,73
760,44;10,12;949,50;540,13;46,17;54,91;10,98;52,14;2006,03
761,02;10,12;949,50;546,38;45,32;54,63;10,93;52,16;1987,45
758,40;10,17;949,10;549,87;44,93;54,44;10,89;52,16;1955,65
753,92;10,16;949,76;547,62;44,87;54,34;10,87;52,14;1950,92
752,94;10,18;949,89;543,63;44,53;54,32;10,86;52,13;1959,48
758,49;10,19;949,23;544,13;45,12;54,37;10,87;52,11;1985,91
761,26;10,16;948,97;540,63;45,72;54,47;10,89;52,07;1988,32
760,12;10,18;949,76;536,13;47,07;54,62;10,92;52,06;1980,27
757,59;10,18;949,63;542,88;44,16;54,82;10,96;52,04;1951,91
757,18;10,18;949,23;542,88;46,26;55,02;11,00;52,04;2008,32
754,41;10,18;949,23;543,38;46,35;55,24;11,05;52,03;1987,02
759,06;10,18;949,76;541,00;45,37;55,50;11,10;52,05;1986,66
759,30;10,18;949,63;550,38;45,16;55,75;11,15;52,07;1977,12
757,91;10,18;949,23;543,50;45,41;56,00;11,20;52,09;1991,12
759,14;10,18;949,10;550,88;46,11;56,23;11,25;52,11;2018,62
760,04;10,18;949,50;547,38;47,03;56,47;11,29;52,12;2037,83
758,81;10,18;949,76;546,75;47,39;56,67;11,33;52,12;2055,42
755,63;10,18;949,76;543,38;46,17;56,86;11,37;52,13;2025,24
759,38;10,18;949,36;542,00;46,41;57,03;11,41;52,13;2045,64
753,75;10,18;948,97;546,12;46,46;57,20;11,44;52,13;2020,67
760,61;10,11;949,63;535,25;45,87;57,34;11,47;52,14;2017,99
756,20;9,97;949,36;544,37;45,85;57,48;11,50;52,16;2022,68
760,36;10,07;949,63;548,00;45,46;57,60;11,52;52,17;2016,57
759,55;10,20;949,23;545,00;45,87;57,71;11,54;52,17;2038,54
759,14;10,34;949,10;554,63;48,61;57,81;11,56;52,17;2110,54
758,73;10,28;949,36;542,75;48,93;57,90;11,58;52,18;2120,56
760,28;10,23;949,63;555,12;47,65;57,98;11,60;52,14;2029,98
755,30;10,28;949,23;547,50;48,10;58,10;11,62;52,12;2035,50
759,55;10,23;949,10;541,25;47,15;58,15;11,63;52,13;2020,75
759,14;10,14;949,50;545,75;46,40;58,23;11,65;52,15;2023,35
758,81;10,17;949,63;542,50;44,31;58,26;11,65;52,16;1967,81
758,32;10,18;949,63;542,38;44,83;58,23;11,65;52,15;2004,02
758,98;10,17;949,50;541,62;46,53;58,12;11,62;52,12;2014,08
747,72;10,21;948,83;545,13;44,44;57,93;11,59;52,11;1994,43
759,55;10,18;949,76;541,00;44,99;57,65;11,53;52,09;1999,25
766,07;10,16;949,50;547,00;45,51;57,32;11,46;52,08;1999,48
761,50;10,17;949,10;549,63;44,54;56,90;11,38;52,08;1976,56
765,91;10,18;949,89;544,75;44,48;56,47;11,29;52,08;1988,28
751,31;10,18;949,36;551,62;45,66;55,99;11,20;52,08;2014,47
751,47;10,18;949,76;543,75;45,43;55,54;11,11;52,08;1999,44
762,97;10,18;949,50;548,13;44,91;55,13;11,03;52,07;1973,88
751,31;10,18;949,36;540,75;45,99;54,79;10,96;52,07;1997,79
751,80;10,18;949,10;539,87;46,82;54,56;10,91;52,06;2024,85
757,51;10,18;949,23;546,75;47,07;54,45;10,89;52,07;2021,85
758,32;10,18;949,89;547,62;46,46;54,40;10,88;52,07;1992,62
757,10;10,18;949,76;540,50;46,32;54,46;10,89;52,08;2009,31
755,47;10,18;949,10;550,38;46,50;54,58;10,92;52,09;2004,89
754,00;10,18;949,89;538,50;45,31;54,76;10,95;52,12;1991,83
754,24;10,18;949,63;547,88;44,37;54,98;11,00;52,12;1954,98
760,77;9,99;948,97;543,87;45,51;55,22;11,04;52,16;1957,75
756,77;10,09;949,23;547,88;46,83;55,48;11,10;52,18;1992,34
752,53;10,19;949,89;542,25;46,56;55,76;11,15;52,20;1995,07
753,59;10,32;949,36;552,12;47,80;56,02;11,20;52,22;2075,82
754,73;10,33;949,10;547,12;47,81;56,26;11,25;52,22;2086,27
756,77;10,26;949,63;546,50;47,13;56,48;11,30;52,21;2077,79
756,37;10,27;950,03;542,88;47,44;56,70;11,34;52,20;2020,94
759,55;10,22;949,76;546,12;47,51;56,90;11,38;52,23;2018,58
759,96;10,14;949,36;545,13;47,06;57,09;11,42;52,26;2018,46
758,81;10,16;949,36;545,00;45,10;57,24;11,45;52,28;1985,24
756,37;10,18;949,50;550,13;46,00;57,38;11,48;52,27;1998,69
761,18;10,17;949,10;536,50;45,34;57,52;11,50;52,25;1991,83
761,91;10,19;949,50;551,25;44,98;57,63;11,53;52,22;1999,21
757,91;10,19;949,63;542,12;44,90;57,73;11,55;52,18;1975,50
757,02;10,17;949,50;541,00;45,38;57,83;11,57;52,15;1991,79
755,96;10,17;949,36;544,13;45,78;57,91;11,58;52,13;1999,09
750,73;10,18;949,23;541,75;45,26;58,00;11,60;52,09;2002,99
759,96;10,18;949,10;542,50;45,59;58,07;11,61;52,06;2000,47
757,91;10,18;950,03;544,00;45,74;58,14;11,63;52,04;2028,60
750,98;10,18;949,36;542,62;46,55;58,19;11,64;52,02;2035,50
754,00;10,18;948,70;548,25;46,30;58,19;11,64;51,99;2034,55
757,34;10,18;949,23;542,88;47,25;58,13;11,63;51,98;2065,72
759,71;10,18;949,89;538,88;46,50;58,00;11,60;51,98;2029,62
756,93;10,18;949,76;550,88;45,82;57,80;11,56;51,98;2019,60
759,87;10,18;949,50;548,87;47,84;57,53;11,51;51,98;2048,80
757,26;10,18;949,63;540,13;46,24;57,18;11,44;52,00;2046,03
759,63;10,18;949,50;543,50;46,40;56,80;11,36;52,03;2019,29
759,46;10,18;949,63;544,75;45,31;56,39;11,28;52,07;1993,05
759,55;10,01;949,23;552,00;45,85;55,94;11,19;52,09;1996,17
759,96;9,97;949,76;553,13;45,06;55,51;11,10;52,13;1980,67
752,53;10,10;949,50;552,87;45,57;55,14;11,03;52,16;1992,74
757,18;10,29;949,76;556,62;46,47;54,85;10,97;52,17;2006,62
757,34;10,36;949,10;546,88;47,93;54,65;10,93;52,16;2076,17
758,73;10,27;949,36;545,75;49,03;54,54;10,91;52,16;2102,21
760,04;10,25;949,36;539,37;47,98;54,52;10,90;52,15;2021,73
757,83;10,25;949,63;548,13;46,57;54,58;10,92;52,16;1964,22
760,12;10,19;949,89;539,37;46,61;54,71;10,94;52,21;1982,56
752,69;10,15;949,23;531,13;45,99;54,86;10,97;52,23;1986,39
760,69;10,16;949,10;542,12;46,30;55,06;11,01;52,24;1978,30
749,43;10,19;949,36;542,75;44,89;55,27;11,05;52,24;1950,37
759,55;10,19;950,03;547,75;44,85;55,50;11,10;52,23;1957,27
759,79;10,19;949,76;545,75;44,55;55,74;11,15;52,21;1981,14
760,28;10,18;949,10;551,25;45,47;55,97;11,19;52,18;1989,94
755,71;10,18;949,63;541,88;45,95;56,17;11,23;52,14;1979,56
753,75;10,18;949,36;549,13;45,38;56,36;11,27;52,12;1979,92
758,57;10,18;949,50;539,00;45,58;56,53;11,31;52,09;1988,32
758,89;10,18;949,10;546,62;45,67;56,70;11,34;52,08;2012,86
758,73;10,18;949,23;547,50;45,55;56,85;11,37;52,07;2012,66
761,50;10,18;950,03;544,63;45,95;57,00;11,40;52,06;2014,67
764,52;10,18;949,63;540,37;45,87;57,15;11,43;52,04;2002,84
769,75;10,18;949,36;540,63;46,68;57,28;11,46;52,03;2036,88
770,81;10,18;949,50;554,13;46,76;57,43;11,49;52,02;2052,39
753,59;10,18;949,36;536,00;47,36;57,55;11,51;52,02;2043,83
762,16;10,18;949,36;544,50;47,71;57,64;11,53;52,02;2054,48
750,41;10,18;949,50;536,88;45,91;57,78;11,56;52,03;2034,83
755,22;10,18;949,23;542,62;47,72;57,93;11,59;52,05;2040,87
744,29;10,18;949,76;549,13;47,23;58,05;11,61;52,05;2028,52
750,90;10,10;949,76;544,00;46,85;58,16;11,63;52,06;2038,70
751,96;10,08;949,50;544,13;45,52;58,26;11,65;52,07;1994,51
755,87;10,16;949,23;537,38;45,02;58,34;11,67;52,07;1992,19
753,26;10,29;949,10;545,50;47,78;58,37;11,67;52,07;2051,01
753,67;10,26;949,36;544,25;46,59;58,34;11,67;52,07;2061,78
755,39;10,19;950,42;542,75;47,44;58,23;11,65;52,06;2033,33
760,69;10,25;949,23;542,88;45,80;58,01;11,60;52,05;1992,26
760,93;10,24;949,36;543,50;46,74;57,73;11,55;52,05;1999,01
756,69;10,13;949,63;539,63;46,34;57,41;11,48;52,07;2018,93
754,00;10,12;949,63;547,00;44,55;57,01;11,40;52,09;1965,44
755,96;10,20;949,10;539,87;43,79;56,59;11,32;52,09;1940,62
758,89;10,19;949,23;541,75;44,40;56,13;11,23;52,09;1946,23
751,71;10,18;949,23;546,25;44,98;55,66;11,13;52,09;1990,92
759,38;10,19;949,63;540,37;44,13;55,22;11,04;52,09;1977,35
755,22;10,19;949,89;536,13;45,16;54,85;10,97;52,07;1964,25
756,61;10,19;949,50;540,50;44,89;54,55;10,91;52,05;1968,40
756,61;10,19;949,36;555,62;45,17;54,36;10,87;52,04;1969,42
759,96;10,18;949,10;551,00;45,27;54,26;10,85;52,03;1969,90
759,46;10,18;949,10;543,75;44,63;54,26;10,85;52,01;1928,24
760,85;10,18;950,03;550,13;44,55;54,32;10,86;52,00;1947,65
760,85;10,18;949,63;543,25;44,93;54,42;10,88;51,99;1967,37
754,73;10,18;949,50;545,37;45,19;54,57;10,91;51,97;1965,99
760,77;10,18;949,50;549,13;44,58;54,75;10,95;51,94;1973,76
760,12;10,18;949,36;544,63;45,87;54,96;10,99;51,92;1995,10
757,02;10,18;949,10;543,12;45,15;55,19;11,04;51,90;1973,76
754,81;10,18;949,89;545,25;46,70;55,45;11,09;51,92;2017,95
750,90;10,18;949,36;544,75;46,51;55,71;11,14;51,94;2001,54
761,42;10,18;949,63;550,75;46,95;55,97;11,19;51,98;2015,15
758,81;10,18;949,63;545,50;45,94;56,21;11,24;52,00;1983,07
750,49;10,17;949,50;549,37;46,95;56,45;11,29;52,03;2041,62
751,14;10,03;948,97;548,00;46,97;56,66;11,33;52,05;2020,63
760,12;10,17;949,63;543,12;45,78;56,84;11,37;52,06;2010,02
758,32;10,28;949,63;545,00;46,44;57,01;11,40;52,07;2043,27
758,08;10,26;949,10;544,50;47,39;57,17;11,43;52,07;2058,90
760,52;10,21;949,23;549,00;47,09;57,30;11,46;52,07;2060,04
751,06;10,26;949,63;542,25;46,65;57,44;11,49;52,06;2021,46
759,71;10,25;949,63;546,12;46,61;57,56;11,51;52,05;2005,80
760,20;10,14;949,36;540,87;47,21;57,65;11,53;52,06;2017,47
759,87;10,13;949,23;547,62;44,79;57,77;11,55;52,07;1988,16
757,02;10,19;949,76;543,38;45,70;57,87;11,57;52,06;1983,43
751,71;10,16;949,36;545,63;45,80;57,94;11,59;52,03;2015,42
760,04;10,17;949,36;541,88;45,11;58,02;11,60;52,01;1989,27
754,81;10,18;949,76;547,00;44,70;58,10;11,62;51,99;1982,56
750,57;10,18;949,10;547,00;44,96;58,16;11,63;51,95;2004,34
759,63;10,21;949,76;544,75;45,15;58,18;11,64;51,91;2007,45
759,38;10,19;949,63;548,50;46,03;58,16;11,63;51,88;2004,10
759,30;10,19;949,76;541,75;45,43;58,06;11,61;51,86;1980,51
